x,y,p0,p1,p2
-2.0775561,1.0545405,0.00000000009752198,0.00000000000008803442,1
-2.0775561,1.1045405,0.00000000006114829,0.00000000000006754044,1
-2.0775561,1.1545404,0.000000000038589434,0.000000000000051920053,1
-2.0775561,1.2045404,0.000000000025202606,0.000000000000040243257,1
-2.0775561,1.2545403,0.000000000016533917,0.000000000000031226557,1
-2.0775561,1.3045403,0.00000000001084693,0.000000000000024230092,1
-2.0775561,1.3545402,0.0000000000071160335,0.000000000000018801221,1
-2.0775561,1.4045402,0.0000000000048208946,0.000000000000014494136,1
-2.0775561,1.4545401,0.0000000000032868309,0.000000000000011159345,1
-2.0775561,1.5045401,0.0000000000022409238,0.000000000000008591817,1
-2.0775561,1.55454,0.0000000000015278362,0.0000000000000066150482,1
-2.0775561,1.60454,0.0000000000010416633,0.000000000000005093086,1
-2.0775561,1.65454,0.0000000000007101928,0.000000000000003921275,1
-2.0775561,1.7045399,0.00000000000048420225,0.0000000000000030190734,1
-2.0775561,1.7545398,0.00000000000033012422,0.0000000000000023244577,1
-2.0775561,1.8045398,0.00000000000022507492,0.0000000000000017896495,1
-2.0775561,1.8545398,0.0000000000001534541,0.0000000000000013778998,1
-2.0775561,1.9045397,0.00000000000010462266,0.0000000000000010608744,1
-2.0775561,1.9545397,0.00000000000007133067,0.00000000000000081678667,1
-2.0775561,2.0045397,0.000000000000048632342,0.00000000000000062886384,1
-2.0775561,2.0545397,0.00000000000003315704,0.0000000000000004841757,1
-2.0775561,2.1045396,0.000000000000022606134,0.0000000000000003727786,1
-2.0775561,2.1545396,0.000000000000015412605,0.00000000000000028701126,1
-2.0275562,-2.1454587,1,0.000000000000000000011783973,0.000000000000000000000019111201
-2.0275562,-2.0954587,1,0.000000000000000000020507426,0.00000000000000000000005348309
-2.0275562,-2.0454588,1,0.000000000000000000035688413,0.00000000000000000000014967467
-2.0275562,-1.9954588,1,0.00000000000000000006210787,0.00000000000000000000041887242
-2.0275562,-1.9454589,1,0.000000000000000000108084324,0.0000000000000000000011722275
-2.0275562,-1.8954589,1,0.00000000000000000018809639,0.0000000000000000000032805276
-2.0275562,-1.845459,1,0.00000000000000000032734057,0.000000000000000000009180694
-2.0275562,-1.795459,1,0.0000000000000000005773016,0.000000000000000000027133644
-2.0275562,-1.7454591,1,0.0000000000000000010231545,0.000000000000000000081825075
-2.0275562,-1.6954591,1,0.0000000000000000018133348,0.0000000000000000002467543
-2.0275562,-1.6454592,1,0.0000000000000000032583577,0.0000000000000000007961863
-2.0275562,-1.5954592,1,0.0000000000000000058580732,0.0000000000000000025758334
-2.0275562,-1.5454593,1,0.000000000000000010531959,0.000000000000000008333277
-2.0275562,-1.4954593,1,0.000000000000000018934924,0.00000000000000002696004
-2.0275562,-1.4454594,1,0.000000000000000034042353,0.00000000000000008722084
-2.0275562,-1.3954594,1,0.00000000000000006120317,0.0000000000000002821781
-2.0275562,-1.3454595,1,0.000000000000000110034364,0.0000000000000009128997
-2.0275562,-1.2954595,1,0.00000000000000019782645,0.000000000000002953426
-2.0275562,-1.2454596,1,0.00000000000000035566305,0.00000000000000955493
-2.0275562,-1.1954596,1,0.0000000000000006392448,0.000000000000030924627
-2.0275562,-1.1454597,1,0.0000000000000011488128,0.00000000000010010124
-2.0275562,-1.0954597,1,0.0000000000000020645782,0.0000000000003240232
-2.0275562,-1.0454597,1,0.000000000000003710352,0.0000000000010488505
-2.0275562,-0.99545974,1,0.000000000000006667999,0.0000000000033950752
-2.0275562,-0.9454597,1,0.000000000000011983423,0.000000000010989747
-2.0275562,-0.8954597,1,0.000000000000021535897,0.00000000003557338
-2.0275562,-0.8454597,1,0.00000000000003869994,0.00000000011512835
